Date,Open,High,Low,Close,Adj Close,Volume,Day,,
9/23/2013,154.110001,154.320007,153.320007,153.710007,124.327225,8662000,0,,41540
9/24/2013,153.740005,154.020004,152.949997,153.059998,123.801468,5774900,1,,
9/25/2013,153.259995,153.389999,152.190002,152.419998,123.283783,7187200,2,,
9/26/2013,152.699997,153.539993,152.470001,152.949997,123.712509,5026300,3,,
9/27/2013,152.300003,152.440002,151.759995,152.210007,123.113983,6634800,4,,
9/30/2013,150.789993,151.539993,150.449997,151,122.135239,9426100,7,,
10/1/2013,151,151.770004,150.770004,151.619995,122.636749,8616300,8,,
10/2/2013,150.899994,151.100006,150.149994,150.979996,122.11908,8895300,9,,
10/3/2013,150.660004,150.759995,149.169998,149.669998,121.059456,10949200,10,,
10/4/2013,149.679993,150.559998,149.429993,150.429993,121.674263,6867800,11,,
10/7/2013,149.119995,149.850006,148.910004,149,120.51767,6081100,14,,
10/8/2013,149,149.139999,147.5,147.529999,119.328575,10388000,15,,
10/9/2013,147.690002,148.320007,146.960007,147.779999,119.530739,11075200,16,,
10/10/2013,149.139999,151.009995,149.089996,150.960007,122.102982,12792200,17,,
10/11/2013,150.919998,152.220001,150.759995,152.169998,123.081612,8186000,18,,
10/14/2013,151.190002,152.880005,151.080002,152.800003,123.591179,6470100,21,,
10/15/2013,152.600006,152.800003,151.339996,151.339996,122.410248,8144700,22,,
10/16/2013,152.369995,153.559998,152.240005,153.520004,124.173553,8714800,23,,
10/17/2013,152.110001,153.589996,152.050003,153.479996,124.141212,9916600,24,,
10/18/2013,153.660004,153.800003,152.889999,153.600006,124.376076,7714400,25,,
10/21/2013,153.690002,153.759995,153.270004,153.529999,124.31926,3588300,28,,
10/22/2013,154.029999,154.860001,153.820007,154.25,124.90239,7501700,29,,
10/23/2013,153.809998,154.029999,153.320007,153.820007,124.554131,5428400,30,,
10/24/2013,154.190002,154.949997,154.100006,154.800003,125.347702,5182600,31,,
10/25/2013,154.910004,155.449997,154.789993,155.449997,125.874008,4565000,32,,
10/28/2013,155.199997,155.649994,154.990005,155.369995,125.809235,4968800,35,,
10/29/2013,155.710007,156.5,155.619995,156.5,126.724312,5779100,36,,
10/30/2013,156.729996,156.869995,155.369995,155.869995,126.214134,6100200,37,,
10/31/2013,155.610001,156.179993,155.100006,155.289993,125.744499,8157400,38,,
11/1/2013,155.580002,156.149994,155.080002,155.860001,126.206009,5909900,39,,
11/4/2013,156.259995,156.360001,155.529999,156.059998,126.368042,4042500,42,,
11/5/2013,155.279999,156.179993,154.869995,155.889999,126.230316,5442800,43,,
11/6/2013,156.490005,157.289993,156.369995,157.220001,127.307152,7548400,44,,
11/7/2013,157.720001,157.800003,155.679993,155.850006,126.197945,10211000,45,,
11/8/2013,155.660004,157.490005,155.580002,157.490005,127.525902,7594900,46,,
11/11/2013,157.330002,157.729996,157.149994,157.610001,127.623093,3795200,49,,
11/12/2013,157.419998,157.720001,156.869995,157.369995,127.428719,4094800,50,,
11/13/2013,156.520004,158.119995,156.5,158.059998,127.98745,5062900,51,,
11/14/2013,158.100006,158.809998,157.949997,158.729996,128.529953,6931000,52,,
11/15/2013,158.570007,159.300003,158.479996,159.300003,129.234207,6529100,53,,
11/18/2013,159.710007,159.949997,159.070007,159.440002,129.347717,5236000,56,,
11/19/2013,159.580002,159.929993,159.089996,159.330002,129.258484,5017300,57,,
11/20/2013,159.550003,159.880005,158.350006,158.770004,128.804214,8401100,58,,
11/21/2013,159.289993,159.880005,159.169998,159.860001,129.688446,4579900,59,,
11/22/2013,159.830002,160.429993,159.479996,160.399994,130.126526,4466400,60,,
11/25/2013,160.809998,160.850006,160.300003,160.610001,130.29689,5114400,63,,
11/26/2013,160.539993,160.970001,160.460007,160.5,130.207657,5231300,64,,
11/27/2013,160.789993,160.940002,160.410004,160.850006,130.491623,6272800,65,,
11/29/2013,161.110001,161.580002,160.580002,160.720001,130.386215,2887900,67,,
12/2/2013,160.759995,160.839996,159.710007,159.919998,129.737167,5655700,70,,
12/3/2013,159.229996,159.619995,158.460007,158.990005,128.982681,8660700,71,,
12/4/2013,158.460007,159.520004,157.830002,158.759995,128.796051,7138200,72,,
12/5/2013,158.449997,158.889999,158.009995,158.119995,128.276901,5823000,73,,
12/6/2013,159.529999,160.179993,159.130005,160.160004,129.931854,6345300,74,,
12/9/2013,160.289993,160.529999,160.110001,160.229996,129.988647,3967700,77,,
12/10/2013,159.770004,160.190002,159.639999,159.720001,129.574921,4047600,78,,
12/11/2013,159.839996,159.899994,158.229996,158.309998,128.431015,7906700,79,,
12/12/2013,158.210007,158.429993,157.070007,157.470001,127.749489,7078700,80,,
12/13/2013,157.539993,157.970001,157.100006,157.649994,127.895515,8886500,81,,
12/16/2013,158.369995,159.369995,158.25,158.899994,128.909607,7076500,84,,
12/17/2013,159.270004,159.289993,158.389999,158.779999,128.812332,6001100,85,,
12/18/2013,159.160004,161.789993,158.110001,161.759995,131.229874,15330700,86,,
12/19/2013,161.479996,162.009995,161.279999,161.880005,131.327148,8018300,87,,
12/20/2013,161.619995,162.529999,161.610001,162.009995,131.754089,7978200,88,,
12/23/2013,162.570007,162.850006,162.330002,162.619995,132.250229,4992800,91,,
12/24/2013,162.720001,163.259995,162.589996,163.160004,132.689407,2462000,92,,
12/26/2013,163.600006,164.490005,163.580002,164.460007,133.746628,4971600,94,,
12/27/2013,164.759995,164.919998,164.220001,164.470001,133.754745,6176900,95,,
12/30/2013,164.550003,164.679993,164.399994,164.589996,133.852295,4043600,98,,
12/31/2013,164.940002,165.509995,164.809998,165.470001,134.568085,5667800,99,,
1/2/2014,164.789993,165.009995,163.839996,164.110001,133.462036,9291100,101,,
1/3/2014,164.399994,164.869995,164.039993,164.389999,133.689713,6127600,102,,
1/6/2014,164.990005,165.059998,163.710007,163.889999,133.283142,7446800,105,,
1/7/2014,164.660004,165.289993,164.520004,164.970001,134.161377,5387200,106,,
1/8/2014,164.699997,164.830002,163.910004,164.350006,133.657196,9461800,107,,
1/9/2014,164.949997,164.990005,163.520004,164.190002,133.527039,8212900,108,,
1/10/2014,164.559998,164.690002,163.520004,164.179993,133.51889,7497200,109,,
1/13/2014,163.899994,164.279999,162.139999,162.240005,131.941147,10676100,112,,
1/14/2014,162.740005,163.470001,162.369995,163.449997,132.925217,7335400,113,,
1/15/2014,163.660004,164.800003,163.589996,164.570007,133.836151,7780800,114,,
1/16/2014,164.220001,164.330002,163.520004,163.979996,133.356262,5170900,115,,
1/17/2014,163.789993,164.589996,163.610001,164.080002,133.545868,8013200,116,,
1/21/2014,165.029999,165.050003,162.789993,163.729996,133.261017,9675200,120,,
1/22/2014,163.759995,163.800003,162.990005,163.470001,133.049423,5418100,121,,
1/23/2014,162.429993,162.429993,161.070007,161.710007,131.617004,9456000,122,,
1/24/2014,160.710007,160.889999,158.479996,158.479996,128.987946,14663200,123,,
1/27/2014,158.710007,159.110001,157.509995,158.020004,128.613647,14215300,126,,
1/28/2014,158.470001,159.169998,158.279999,158.940002,129.362442,8308000,127,,
1/29/2014,157.660004,158.25,156.75,157.100006,127.864914,14271200,128,,
1/30/2014,158.300003,158.770004,157.369995,158.169998,128.735748,7864700,129,,
1/31/2014,156.229996,157.699997,155.850006,156.75,127.579948,10693100,130,,
2/3/2014,156.570007,156.759995,153.25,153.529999,124.959244,18172800,133,,
2/4/2014,153.949997,154.529999,153.259995,154.080002,125.406822,11853400,134,,
2/5/2014,153.720001,154.509995,153.119995,154.179993,125.488281,11603200,135,,
2/6/2014,154.699997,156.149994,154.699997,156.139999,127.083496,10426200,136,,
2/7/2014,156.559998,157.800003,156.050003,157.779999,128.418228,11528500,137,,
2/10/2014,157.759995,157.820007,157.130005,157.75,128.39386,4790700,140,,
2/11/2014,158.059998,160.089996,157.940002,159.759995,130.029755,7620400,141,,
2/12/2014,160,160.449997,159.339996,159.710007,129.989105,5249600,142,,
2/13/2014,158.660004,160.470001,158.610001,160.289993,130.461197,5085000,143,,
2/14/2014,160.080002,161.830002,159.899994,161.589996,131.519272,5824400,144,,
2/18/2014,161.699997,161.759995,161.130005,161.410004,131.372833,4966400,148,,
2/19/2014,161.020004,162.339996,160.380005,160.520004,130.6483,8245400,149,,
2/20/2014,160.559998,161.720001,160.100006,161.309998,131.291489,7035600,150,,
2/21/2014,161.080002,161.619995,160.619995,160.809998,131.238342,5268200,151,,
2/24/2014,161.020004,162.690002,160.970001,161.660004,131.932053,6704400,154,,
2/25/2014,161.740005,162.240005,161.130005,161.5,131.801407,6067800,155,,
2/26/2014,161.710007,162.259995,161.270004,161.839996,132.078934,5032900,156,,
2/27/2014,161.639999,162.559998,161.369995,162.550003,132.658447,5292500,157,,
2/28/2014,162.559998,163.770004,162.009995,163.020004,133.041962,10010400,158,,
3/3/2014,161.589996,162.190002,160.490005,161.490005,131.79335,9144400,161,,
3/4/2014,163.130005,164,163.050003,163.630005,133.53978,7947500,162,,
3/5/2014,163.779999,163.820007,163.210007,163.350006,133.311234,4968400,163,,
3/6/2014,163.820007,164.309998,163.759995,164.089996,133.915161,4651800,164,,
3/7/2014,164.759995,164.889999,163.809998,164.339996,134.119232,7381900,165,,
3/10/2014,164.050003,164.160004,163.179993,163.990005,133.833633,3995400,168,,
3/11/2014,164.279999,164.490005,163.110001,163.419998,133.3685,5198700,169,,
3/12/2014,162.660004,163.570007,162.470001,163.229996,133.213318,5250800,170,,
3/13/2014,163.740005,164.029999,160.779999,161.050003,131.43428,9500500,171,,
